0,1,Industry,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 , ,"All enterprises within the private, non-financial urban trades",27.0,24.0,25.0,24.0,28.0,30.0,29.0,30.0,34.0,32.0,31.0,
 , ,10-39 Manufacturing,27.0,24.0,26.0,26.0,26.0,28.0,31.0,31.0,33.0,28.0,28.0,
 , ,41-43 Construction,6.0,7.0,9.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,10.0,
 , ,45-56 Trade and transport etc.,22.0,19.0,20.0,19.0,23.0,25.0,22.0,24.0,31.0,28.0,27.0,
 , ,58-63 Information and communication,85.0,82.0,84.0,84.0,85.0,89.0,87.0,90.0,89.0,91.0,86.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,36.0,40.0,38.0,35.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",34.0,32.0,30.0,27.0,35.0,35.0,37.0,,,,,
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",20.0,17.0,18.0,18.0,21.0,23.0,22.0,23.0,27.0,25.0,23.0,
 , ,10-39 Manufacturing,14.0,11.0,13.0,13.0,12.0,15.0,18.0,18.0,20.0,15.0,12.0,
 , ,41-43 Construction,4.0,4.0,7.0,6.0,7.0,8.0,7.0,4.0,8.0,6.0,6.0,
 , ,45-56 Trade and transport etc.,16.0,12.0,13.0,13.0,17.0,19.0,15.0,17.0,24.0,22.0,20.0,
 , ,58-63 Information and communication,83.0,80.0,82.0,82.0,83.0,87.0,85.0,88.0,88.0,90.0,84.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,28.0,33.0,31.0,29.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",27.0,25.0,22.0,20.0,28.0,28.0,31.0,,,,,
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",44.0,43.0,46.0,41.0,45.0,46.0,44.0,48.0,52.0,50.0,52.0,
 , ,10-39 Manufacturing,41.0,39.0,40.0,41.0,42.0,39.0,39.0,45.0,42.0,41.0,49.0,
 , ,41-43 Construction,9.0,12.0,19.0,10.0,13.0,13.0,10.0,15.0,18.0,17.0,22.0,
 , ,45-56 Trade and transport etc.,42.0,42.0,45.0,41.0,44.0,47.0,44.0,47.0,57.0,52.0,55.0,
 , ,58-63 Information and communication,95.0,92.0,93.0,83.0,93.0,94.0,95.0,94.0,92.0,95.0,92.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,56.0,65.0,58.0,53.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",54.0,51.0,55.0,44.0,54.0,57.0,54.0,,,,,
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",70.0,69.0,68.0,64.0,66.0,70.0,69.0,70.0,71.0,70.0,70.0,
 , ,10-39 Manufacturing,76.0,74.0,75.0,70.0,71.0,75.0,75.0,76.0,77.0,75.0,75.0,
 , ,41-43 Construction,51.0,51.0,37.0,26.0,33.0,39.0,36.0,26.0,31.0,32.0,31.0,
 , ,45-56 Trade and transport etc.,65.0,63.0,64.0,62.0,65.0,68.0,69.0,68.0,71.0,70.0,72.0,
 , ,58-63 Information and communication,91.0,90.0,95.0,94.0,94.0,96.0,93.0,96.0,98.0,97.0,94.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,75.0,71.0,72.0,68.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",70.0,74.0,68.0,62.0,65.0,67.0,64.0,,,,,
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",87.0,87.0,85.0,84.0,85.0,85.0,88.0,90.0,90.0,88.0,89.0,
 , ,10-39 Manufacturing,93.0,88.0,91.0,92.0,94.0,94.0,96.0,96.0,95.0,94.0,95.0,
 , ,41-43 Construction,75.0,83.0,68.0,73.0,77.0,77.0,86.0,84.0,85.0,77.0,88.0,
 , ,45-56 Trade and transport etc.,82.0,85.0,80.0,79.0,78.0,81.0,85.0,92.0,87.0,88.0,85.0,
 , ,58-63 Information and communication,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,77.0,80.0,80.0,83.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",82.0,87.0,83.0,78.0,80.0,77.0,78.0,,,,,
3.1 Have recruited or tried to recruit IT specialists,,,,,,,,,,,,,,
 ,All enterprises (with at least 10 employees),,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",12.0,11.0,11.0,12.0,13.0,14.0,14.0,,19.0,,16.0,
 , ,10-39 Manufacturing,8.0,8.0,8.0,8.0,9.0,9.0,11.0,,16.0,,14.0,
 , ,41-43 Construction,2.0,3.0,3.0,2.0,1.0,2.0,2.0,,5.0,,3.0,
 , ,45-56 Trade and transport etc.,9.0,7.0,6.0,8.0,8.0,9.0,9.0,,14.0,,11.0,
 , ,58-63 Information and communication,63.0,64.0,66.0,65.0,67.0,73.0,65.0,,75.0,,66.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,22.0,,17.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",13.0,13.0,14.0,13.0,13.0,16.0,19.0,,,,,
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",9.0,8.0,8.0,9.0,9.0,10.0,11.0,,15.0,,11.0,
 , ,10-39 Manufacturing,3.0,3.0,2.0,4.0,3.0,3.0,5.0,,9.0,,6.0,
 , ,41-43 Construction,1.0,2.0,2.0,2.0,,1.0,1.0,,4.0,,2.0,
 , ,45-56 Trade and transport etc.,6.0,5.0,3.0,5.0,5.0,5.0,6.0,,9.0,,7.0,
 , ,58-63 Information and communication,62.0,62.0,64.0,63.0,64.0,71.0,61.0,,73.0,,63.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,18.0,,12.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",10.0,10.0,9.0,10.0,8.0,10.0,15.0,,,,,
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",14.0,18.0,17.0,17.0,21.0,22.0,19.0,,26.0,,24.0,
 , ,10-39 Manufacturing,8.0,11.0,11.0,9.0,11.0,10.0,10.0,,15.0,,18.0,
 , ,41-43 Construction,,3.0,6.0,5.0,7.0,3.0,,,6.0,,1.0,
 , ,45-56 Trade and transport etc.,13.0,16.0,9.0,16.0,20.0,20.0,15.0,,25.0,,23.0,
 , ,58-63 Information and communication,64.0,69.0,69.0,70.0,80.0,84.0,80.0,,82.0,,71.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,28.0,,28.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",18.0,23.0,29.0,18.0,26.0,34.0,29.0,,,,,
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",26.0,25.0,29.0,28.0,31.0,34.0,35.0,,40.0,,39.0,
 , ,10-39 Manufacturing,22.0,22.0,25.0,22.0,27.0,28.0,28.0,,34.0,,34.0,
 , ,41-43 Construction,12.0,9.0,12.0,13.0,15.0,15.0,16.0,,13.0,,12.0,
 , ,45-56 Trade and transport etc.,23.0,21.0,27.0,25.0,27.0,30.0,31.0,,40.0,,37.0,
 , ,58-63 Information and communication,71.0,75.0,81.0,79.0,81.0,81.0,83.0,,89.0,,85.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,45.0,,38.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",25.0,26.0,27.0,31.0,34.0,39.0,41.0,,,,,
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",52.0,53.0,57.0,55.0,58.0,60.0,59.0,,68.0,,66.0,
 , ,10-39 Manufacturing,48.0,48.0,54.0,49.0,57.0,61.0,60.0,,68.0,,69.0,
 , ,41-43 Construction,28.0,31.0,37.0,26.0,32.0,32.0,42.0,,49.0,,53.0,
 , ,45-56 Trade and transport etc.,52.0,52.0,50.0,55.0,54.0,58.0,55.0,,68.0,,61.0,
 , ,58-63 Information and communication,80.0,80.0,87.0,94.0,94.0,97.0,95.0,,96.0,,87.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,59.0,,64.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",52.0,58.0,67.0,61.0,63.0,57.0,55.0,,,,,
4. Have experienced difficulties in recruiting IT specialists,,,,,,,,,,,,,,
 ,All enterprises (with at least 10 employees),,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",5.0,5.0,6.0,7.0,8.0,8.0,8.0,,12.0,,8.0,
 , ,10-39 Manufacturing,2.0,3.0,3.0,5.0,6.0,5.0,6.0,,8.0,,7.0,
 , ,41-43 Construction,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,,1.0,
 , ,45-56 Trade and transport etc.,4.0,3.0,3.0,4.0,4.0,5.0,5.0,,8.0,,5.0,
 , ,58-63 Information and communication,29.0,33.0,42.0,48.0,51.0,54.0,46.0,,59.0,,33.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,12.0,,9.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",4.0,5.0,6.0,7.0,7.0,7.0,10.0,,,,,
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",4.0,4.0,4.0,6.0,5.0,6.0,6.0,,9.0,,5.0,
 , ,10-39 Manufacturing,0.0,2.0,1.0,2.0,2.0,0.0,2.0,,3.0,,2.0,
 , ,41-43 Construction,,,1.0,0.0,,,,,1.0,,1.0,
 , ,45-56 Trade and transport etc.,3.0,1.0,1.0,2.0,2.0,3.0,3.0,,4.0,,3.0,
 , ,58-63 Information and communication,30.0,33.0,41.0,46.0,49.0,51.0,44.0,,56.0,,29.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,10.0,,6.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",3.0,4.0,4.0,6.0,3.0,4.0,7.0,,,,,
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",6.0,7.0,8.0,10.0,12.0,15.0,13.0,,16.0,,13.0,
 , ,10-39 Manufacturing,2.0,2.0,6.0,5.0,7.0,8.0,6.0,,7.0,,9.0,
 , ,41-43 Construction,,2.0,2.0,2.0,,,,,4.0,,1.0,
 , ,45-56 Trade and transport etc.,5.0,6.0,5.0,9.0,11.0,13.0,10.0,,15.0,,10.0,
 , ,58-63 Information and communication,,,,,,,,,,,48.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,16.0,,15.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",8.0,12.0,9.0,8.0,12.0,19.0,19.0,,,,,
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",10.0,8.0,13.0,15.0,18.0,19.0,18.0,,26.0,,20.0,
 , ,10-39 Manufacturing,7.0,6.0,9.0,11.0,15.0,13.0,15.0,,19.0,,20.0,
 , ,41-43 Construction,9.0,3.0,2.0,4.0,11.0,6.0,4.0,,8.0,,9.0,
 , ,45-56 Trade and transport etc.,11.0,8.0,12.0,11.0,15.0,18.0,14.0,,25.0,,20.0,
 , ,58-63 Information and communication,25.0,31.0,46.0,58.0,54.0,64.0,51.0,,79.0,,46.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,26.0,,16.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",7.0,8.0,9.0,16.0,20.0,21.0,20.0,,,,,
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",20.0,22.0,29.0,34.0,39.0,41.0,40.0,,51.0,,43.0,
 , ,10-39 Manufacturing,19.0,19.0,23.0,32.0,37.0,37.0,40.0,,49.0,,42.0,
 , ,41-43 Construction,8.0,4.0,14.0,4.0,10.0,19.0,21.0,,31.0,,32.0,
 , ,45-56 Trade and transport etc.,19.0,27.0,26.0,31.0,36.0,40.0,37.0,,51.0,,38.0,
 , ,58-63 Information and communication,25.0,39.0,50.0,69.0,70.0,77.0,75.0,,74.0,,69.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,48.0,,46.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",27.0,16.0,44.0,39.0,47.0,40.0,35.0,,,,,
